Gym,Country,City,Address,Google Map Link,Squat rack,Weight Bench,Other equipment,latitude,longtitude,website,phone
Relos Functional Gym,Philippines,Cebu,"Crossroads mall, Gov. M. Cuenco Ave, Banilad, Cebu City, 6000 Cebu, Philippines",https://maps.app.goo.gl/iEMUz5KcV5AZUFtQ8,yes,yes,"treadmill, dumbbels and others",10.32868272,123.911445,,
EnForma24Siete gym Moncloa,Spain,Madrid,"C. de Isaac Peral, 14, Chamberí, 28015 Madrid, Spain",https://maps.app.goo.gl/kvJMFE9HZr51SuQ48,yes,yes,"Many machines, including cable ones, treadmills",40.44861262,-3.717198326,http://enforma24siete.es/,+34649824074
